,Links,Name,Price,KM Run
0,,,,
1,https://www.carpages.ca/used-cars/manitoba/winnipeg/2017-toyota-prius-10144047/,2017 Toyota Prius,20993,"136,538KM"
2,https://www.carpages.ca/new-cars/ontario/tilbury/2023-ford-f-150-10143324/,2023 Ford F-150,107465,CALL
3,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-tundra-10143078/,2023 Toyota Tundra,80345,10KM
4,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-camry-10143066/,2023 Toyota Camry,35230,10KM
5,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2021-hyundai-kona-10142427/,2021 Hyundai KONA,32800,"81,858KM"
6,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2022-hyundai-ioniq-5-10142424/,2022 Hyundai IONIQ 5,50995,"22,000KM"
7,https://www.carpages.ca/used-cars/ontario/cobourg/2021-toyota-sienna-10141935/,2021 Toyota Sienna,66979,"43,084KM"
8,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-kia-niro-10141560/,2023 Kia NIRO,51617,26KM
9,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141554/,2023 Volvo XC60,97600,15KM
10,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141551/,2023 Volvo XC60,98210,15KM
11,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141548/,2023 Volvo XC60,99165,30KM
12,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-toyota-sienna-10141539/,2022 Toyota Sienna,72750,"9,602KM"
13,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-mitsubishi-outlander-10141482/,2019 Mitsubishi Outlander,34870,"47,627KM"
14,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-ford-f-150-10141407/,2022 Ford F-150,60990,"17,235KM"
15,https://www.carpages.ca/used-cars/ontario/kitchener/2023-toyota-camry-10141101/,2023 Toyota Camry,51999,25KM
16,https://www.carpages.ca/used-cars/ontario/kitchener/2023-toyota-camry-10141077/,2023 Toyota Camry,51999,25KM
17,https://www.carpages.ca/used-cars/ontario/kitchener/2021-jeep-wrangler-10140966/,2021 Jeep Wrangler,61499,"20,855KM"
18,https://www.carpages.ca/used-cars/ontario/kitchener/2017-toyota-camry-10140879/,2017 Toyota Camry,21880,"172,701KM"
19,https://www.carpages.ca/used-cars/ontario/brampton/2018-toyota-camry-10140792/,2018 Toyota Camry,30900,"121,200KM"
20,https://www.carpages.ca/used-cars/alberta/edmonton/2006-lexus-rx-400h-10140663/,2006 Lexus RX 400h,13900,"164,318KM"
21,https://www.carpages.ca/used-cars/quebec/quebec/2019-hyundai-ioniq-10140225/,2019 Hyundai IONIQ,25687,"70,946KM"
22,https://www.carpages.ca/new-cars/alberta/medicine-hat/2023-ford-escape-10139970/,2023 Ford Escape,54723,352KM
23,https://www.carpages.ca/used-cars/alberta/sherwood-park/2020-toyota-rav4-10139577/,2020 Toyota RAV4,48995,CALL
24,https://www.carpages.ca/used-cars/ontario/brampton/2020-toyota-highlander-10139562/,2020 Toyota Highlander,52900,"89,200KM"
25,https://www.carpages.ca/used-cars/ontario/scarborough/2013-toyota-prius-10139091/,2013 Toyota Prius,15950,CALL
26,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-chrysler-pacifica-10138566/,2023 Chrysler Pacifica,79200,15KM
27,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-toyota-rav4-10138338/,2019 Toyota RAV4,45800,"60,000KM"
28,https://www.carpages.ca/used-cars/manitoba/winnipeg/2014-hyundai-sonata-10138326/,2014 Hyundai Sonata,19800,"80,000KM"
29,https://www.carpages.ca/used-cars/ontario/hamilton/2019-toyota-rav4-10138080/,2019 Toyota RAV4,29995,"188,440KM"
30,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-jeep-wrangler-10137996/,2023 Jeep Wrangler,75427,25KM
31,https://www.carpages.ca/used-cars/manitoba/selkirk/2022-ford-f-150-10137975/,2022 Ford F-150,69794,"43,623KM"
32,https://www.carpages.ca/used-cars/manitoba/selkirk/2020-ford-escape-10137972/,2020 Ford Escape,37294,"51,495KM"
33,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10137960/,2023 Ford Escape,47943,6KM
34,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10137957/,2023 Ford Escape,47943,4KM
35,https://www.carpages.ca/used-cars/ontario/kanata/2022-toyota-rav4-10137801/,2022 Toyota RAV4,61480,"29,800KM"
36,https://www.carpages.ca/used-cars/ontario/ottawa/2022-toyota-rav4-10137765/,2022 Toyota RAV4,41698,"8,245KM"
37,https://www.carpages.ca/used-cars/ontario/st-catharines/2021-toyota-rav4-10137696/,2021 Toyota RAV4,47498,"43,010KM"
38,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-toyota-rav4-10137303/,2016 Toyota RAV4,34109,"42,595KM"
39,https://www.carpages.ca/new-cars/manitoba/brandon/2023-honda-cr-v-10137195/,2023 Honda CR-V,5355875,25KM
40,https://www.carpages.ca/used-cars/british-columbia/richmond/2023-toyota-rav4-10136871/,2023 Toyota RAV4,54888,920KM
41,https://www.carpages.ca/new-cars/saskatchewan/regina/2024-lexus-nx-10136376/,2024 Lexus NX,69155,CALL
42,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135971/,2023 Ford Escape,50594,CALL
43,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135932/,2023 Ford Escape,50744,CALL
44,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135926/,2023 Ford Escape,57324,CALL
45,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135920/,2023 Ford Escape,49944,CALL
46,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135878/,2023 Ford Escape,50644,CALL
47,https://www.carpages.ca/used-cars/ontario/mississauga/2022-tesla-model-3-10135866/,2022 Tesla Model 3,44995,"45,753KM"
48,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135863/,2023 Ford Escape,58074,CALL
49,https://www.carpages.ca/used-cars/ontario/mississauga/2020-ford-escape-10135854/,2020 Ford Escape,35995,"36,224KM"
50,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10135650/,2023 Ford Escape,50373,43KM
51,https://www.carpages.ca/used-cars/ontario/chatham/2020-ford-escape-10135527/,2020 Ford Escape,36998,"60,267KM"
52,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-ford-escape-10135071/,2023 Ford Escape,57624,10KM
53,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-ford-escape-10135065/,2023 Ford Escape,52294,20KM
54,https://www.carpages.ca/new-cars/saskatchewan/regina/2023-ram-1500-10134645/,2023 RAM 1500,88430,CALL
55,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2023-ford-f-150-10134555/,2023 Ford F-150,90399,10KM
56,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-maverick-10134456/,2023 Ford MAVERICK,38205,CALL
57,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-maverick-10134453/,2023 Ford MAVERICK,41225,CALL
58,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-f-150-10134423/,2023 Ford F-150,74030,CALL
59,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-f-150-10134405/,2023 Ford F-150,93935,CALL
60,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-escape-10134390/,2023 Ford Escape,53399,CALL
61,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-escape-10134387/,2023 Ford Escape,50399,CALL
62,https://www.carpages.ca/new-cars/ontario/nepean/2023-hyundai-kona-10134288/,2023 Hyundai KONA,52858,CALL
63,https://www.carpages.ca/used-cars/ontario/orleans/2019-chevrolet-volt-10134243/,2019 Chevrolet Volt,31800,"26,230KM"
64,https://www.carpages.ca/used-cars/ontario/orleans/2020-chevrolet-bolt-10134237/,2020 Chevrolet Bolt,37000,"7,422KM"
65,https://www.carpages.ca/used-cars/ontario/ottawa/2022-toyota-tundra-10134183/,2022 Toyota Tundra,79698,"23,720KM"
66,https://www.carpages.ca/used-cars/ontario/ottawa/2018-toyota-rav4-10134177/,2018 Toyota RAV4,32898,"74,658KM"
67,https://www.carpages.ca/used-cars/ontario/ottawa/2021-tesla-model-3-10134030/,2021 Tesla Model 3,44695,"26,699KM"
68,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2018-chevrolet-volt-10133889/,2018 Chevrolet Volt,23995,"77,800KM"
69,https://www.carpages.ca/used-cars/ontario/whitby/2020-tesla-model-3-10133442/,2020 Tesla Model 3,39988,"52,982KM"
70,https://www.carpages.ca/used-cars/ontario/kitchener/2021-ford-f-150-10132659/,2021 Ford F-150,75988,"31,692KM"
71,https://www.carpages.ca/new-cars/british-columbia/richmond/2023-jeep-wrangler-10132482/,2023 Jeep Wrangler,77088,10KM
72,https://www.carpages.ca/new-cars/british-columbia/richmond/2023-jeep-wrangler-10132470/,2023 Jeep Wrangler,71731,CALL
73,https://www.carpages.ca/new-cars/british-columbia/richmond/2023-jeep-wrangler-10132464/,2023 Jeep Wrangler,53372,CALL
74,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-kia-ev6-10132278/,2023 Kia EV6,88524,26KM
75,https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-toyota-camry-10132248/,2018 Toyota Camry,31488,"63,721KM"
76,https://www.carpages.ca/new-cars/alberta/sherwood-park/2024-mazda-cx-90-mhev-10132065/,2024 Mazda CX-90 MHEV,6542125,10KM
77,https://www.carpages.ca/used-cars/ontario/brantford/2021-tesla-model-y-10131921/,2021 Tesla Model Y,67988,"31,831KM"
78,https://www.carpages.ca/used-cars/ontario/burlington/2018-toyota-prius-10131720/,2018 Toyota Prius,29998,"43,100KM"
79,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-jeep-grand-cherokee-10131561/,2023 Jeep Grand Cherokee,87100,CALL
80,https://www.carpages.ca/used-cars/ontario/burlington/2018-tesla-model-x-10131126/,2018 Tesla Model X,57888,"102,950KM"
81,https://www.carpages.ca/used-cars/ontario/burlington/2017-tesla-model-s-10131120/,2017 Tesla Model S,43888,"75,801KM"
82,https://www.carpages.ca/used-cars/ontario/burlington/2016-tesla-model-x-10131114/,2016 Tesla Model X,69888,"78,300KM"
83,https://www.carpages.ca/used-cars/ontario/burlington/2017-hyundai-sonata-10131105/,2017 Hyundai Sonata,18888,"132,400KM"
84,https://www.carpages.ca/used-cars/ontario/toronto/2017-toyota-prius-10131090/,2017 Toyota Prius,19990,"130,000KM"
85,https://www.carpages.ca/used-cars/ontario/chatham/2022-ford-escape-10130433/,2022 Ford Escape,40499,"25,711KM"
86,https://www.carpages.ca/used-cars/nova-scotia/halifax/2022-audi-q5-10129965/,2022 Audi Q5,54990,"42,759KM"
87,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-venza-10129887/,2023 Toyota Venza,47390,10KM
88,https://www.carpages.ca/new-cars/saskatchewan/regina/2023-ford-escape-10129788/,2023 Ford Escape,44541,CALL
89,https://www.carpages.ca/used-cars/saskatchewan/regina/2021-jeep-wrangler-10129758/,2021 Jeep Wrangler,50911,"19,979KM"
90,https://www.carpages.ca/used-cars/saskatchewan/regina/2022-hyundai-elantra-10129614/,2022 Hyundai Elantra,40973,"31,127KM"
91,https://www.carpages.ca/new-cars/saskatchewan/regina/2023-ram-1500-10129611/,2023 RAM 1500,88380,CALL
92,https://www.carpages.ca/new-cars/saskatchewan/regina/2023-ram-1500-10129608/,2023 RAM 1500,87985,CALL
93,https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-toyota-prius-10129497/,2021 Toyota Prius,39980,"59,998KM"
94,https://www.carpages.ca/used-cars/ontario/guelph/2020-honda-insight-10129482/,2020 Honda Insight,35998,"36,000KM"
95,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-kia-soul-10129485/,2016 Kia Soul,20980,"127,521KM"
96,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-toyota-rav4-10129473/,2016 Toyota RAV4,29980,"76,502KM"
97,https://www.carpages.ca/used-cars/british-columbia/langley/2018-smart-fortwo-10129464/,2018 Smart fortwo,19866,"19,413KM"
98,https://www.carpages.ca/new-cars/ontario/ottawa/2023-ford-f-150-10129236/,2023 Ford F-150,76040,26KM
99,https://www.carpages.ca/used-cars/manitoba/winnipeg/2017-toyota-prius-10144047/,2017 Toyota Prius,20993,"136,538KM"
100,https://www.carpages.ca/new-cars/ontario/tilbury/2023-ford-f-150-10143324/,2023 Ford F-150,107465,CALL
101,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-tundra-10143078/,2023 Toyota Tundra,80345,10KM
102,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-camry-10143066/,2023 Toyota Camry,35230,10KM
103,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2021-hyundai-kona-10142427/,2021 Hyundai KONA,32800,"81,858KM"
104,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2022-hyundai-ioniq-5-10142424/,2022 Hyundai IONIQ 5,50995,"22,000KM"
105,https://www.carpages.ca/used-cars/ontario/cobourg/2021-toyota-sienna-10141935/,2021 Toyota Sienna,66979,"43,084KM"
106,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-kia-niro-10141560/,2023 Kia NIRO,51617,26KM
107,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141554/,2023 Volvo XC60,97600,15KM
108,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141551/,2023 Volvo XC60,98210,15KM
109,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141548/,2023 Volvo XC60,99165,30KM
110,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-toyota-sienna-10141539/,2022 Toyota Sienna,72750,"9,602KM"
111,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-mitsubishi-outlander-10141482/,2019 Mitsubishi Outlander,34870,"47,627KM"
112,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-ford-f-150-10141407/,2022 Ford F-150,60990,"17,235KM"
113,https://www.carpages.ca/used-cars/ontario/kitchener/2023-toyota-camry-10141101/,2023 Toyota Camry,51999,25KM
114,https://www.carpages.ca/used-cars/ontario/kitchener/2023-toyota-camry-10141077/,2023 Toyota Camry,51999,25KM
115,https://www.carpages.ca/used-cars/ontario/kitchener/2021-jeep-wrangler-10140966/,2021 Jeep Wrangler,61499,"20,855KM"
116,https://www.carpages.ca/used-cars/ontario/kitchener/2017-toyota-camry-10140879/,2017 Toyota Camry,21880,"172,701KM"
117,https://www.carpages.ca/used-cars/ontario/brampton/2018-toyota-camry-10140792/,2018 Toyota Camry,30900,"121,200KM"
118,https://www.carpages.ca/used-cars/alberta/edmonton/2006-lexus-rx-400h-10140663/,2006 Lexus RX 400h,13900,"164,318KM"
119,https://www.carpages.ca/used-cars/quebec/quebec/2019-hyundai-ioniq-10140225/,2019 Hyundai IONIQ,25687,"70,946KM"
120,https://www.carpages.ca/new-cars/alberta/medicine-hat/2023-ford-escape-10139970/,2023 Ford Escape,54723,352KM
121,https://www.carpages.ca/used-cars/alberta/sherwood-park/2020-toyota-rav4-10139577/,2020 Toyota RAV4,48995,CALL
122,https://www.carpages.ca/used-cars/ontario/brampton/2020-toyota-highlander-10139562/,2020 Toyota Highlander,52900,"89,200KM"
123,https://www.carpages.ca/used-cars/ontario/scarborough/2013-toyota-prius-10139091/,2013 Toyota Prius,15950,CALL
124,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-chrysler-pacifica-10138566/,2023 Chrysler Pacifica,79200,15KM
125,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-toyota-rav4-10138338/,2019 Toyota RAV4,45800,"60,000KM"
126,https://www.carpages.ca/used-cars/manitoba/winnipeg/2014-hyundai-sonata-10138326/,2014 Hyundai Sonata,19800,"80,000KM"
127,https://www.carpages.ca/used-cars/ontario/hamilton/2019-toyota-rav4-10138080/,2019 Toyota RAV4,29995,"188,440KM"
128,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-jeep-wrangler-10137996/,2023 Jeep Wrangler,75427,25KM
129,https://www.carpages.ca/used-cars/manitoba/selkirk/2022-ford-f-150-10137975/,2022 Ford F-150,69794,"43,623KM"
130,https://www.carpages.ca/used-cars/manitoba/selkirk/2020-ford-escape-10137972/,2020 Ford Escape,37294,"51,495KM"
131,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10137960/,2023 Ford Escape,47943,6KM
132,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10137957/,2023 Ford Escape,47943,4KM
133,https://www.carpages.ca/used-cars/ontario/kanata/2022-toyota-rav4-10137801/,2022 Toyota RAV4,61480,"29,800KM"
134,https://www.carpages.ca/used-cars/ontario/ottawa/2022-toyota-rav4-10137765/,2022 Toyota RAV4,41698,"8,245KM"
135,https://www.carpages.ca/used-cars/ontario/st-catharines/2021-toyota-rav4-10137696/,2021 Toyota RAV4,47498,"43,010KM"
136,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-toyota-rav4-10137303/,2016 Toyota RAV4,34109,"42,595KM"
137,https://www.carpages.ca/new-cars/manitoba/brandon/2023-honda-cr-v-10137195/,2023 Honda CR-V,5355875,25KM
138,https://www.carpages.ca/used-cars/british-columbia/richmond/2023-toyota-rav4-10136871/,2023 Toyota RAV4,54888,920KM
139,https://www.carpages.ca/new-cars/saskatchewan/regina/2024-lexus-nx-10136376/,2024 Lexus NX,69155,CALL
140,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135971/,2023 Ford Escape,50594,CALL
141,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135932/,2023 Ford Escape,50744,CALL
142,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135926/,2023 Ford Escape,57324,CALL
143,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135920/,2023 Ford Escape,49944,CALL
144,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135878/,2023 Ford Escape,50644,CALL
145,https://www.carpages.ca/used-cars/ontario/mississauga/2022-tesla-model-3-10135866/,2022 Tesla Model 3,44995,"45,753KM"
146,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135863/,2023 Ford Escape,58074,CALL
147,https://www.carpages.ca/used-cars/ontario/mississauga/2020-ford-escape-10135854/,2020 Ford Escape,35995,"36,224KM"
148,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10135650/,2023 Ford Escape,50373,43KM
149,https://www.carpages.ca/used-cars/ontario/chatham/2020-ford-escape-10135527/,2020 Ford Escape,36998,"60,267KM"
150,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-ford-escape-10135071/,2023 Ford Escape,57624,10KM
151,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-ford-escape-10135065/,2023 Ford Escape,52294,20KM
152,https://www.carpages.ca/new-cars/saskatchewan/regina/2023-ram-1500-10134645/,2023 RAM 1500,88430,CALL
153,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2023-ford-f-150-10134555/,2023 Ford F-150,90399,10KM
154,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-maverick-10134456/,2023 Ford MAVERICK,38205,CALL
155,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-maverick-10134453/,2023 Ford MAVERICK,41225,CALL
156,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-f-150-10134423/,2023 Ford F-150,74030,CALL
157,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-f-150-10134405/,2023 Ford F-150,93935,CALL
158,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-escape-10134390/,2023 Ford Escape,53399,CALL
159,https://www.carpages.ca/new-cars/ontario/mississauga/2023-ford-escape-10134387/,2023 Ford Escape,50399,CALL
160,https://www.carpages.ca/new-cars/ontario/nepean/2023-hyundai-kona-10134288/,2023 Hyundai KONA,52858,CALL
161,https://www.carpages.ca/used-cars/ontario/orleans/2019-chevrolet-volt-10134243/,2019 Chevrolet Volt,31800,"26,230KM"
162,https://www.carpages.ca/used-cars/ontario/orleans/2020-chevrolet-bolt-10134237/,2020 Chevrolet Bolt,37000,"7,422KM"
163,https://www.carpages.ca/used-cars/ontario/ottawa/2022-toyota-tundra-10134183/,2022 Toyota Tundra,79698,"23,720KM"
164,https://www.carpages.ca/used-cars/ontario/ottawa/2018-toyota-rav4-10134177/,2018 Toyota RAV4,32898,"74,658KM"
